cluster_name,dag_id,no_of_jobs,num_of_workers,worker_machine_type,master_machine_type,total_active_minutes,estimated_cost_eur,TIMER_NAME,TIMER_TIME
cluster-wf-dmr-load-e338500b-0300,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,325,42,n2-highcpu-48,n2-highcpu-48,3111.49,6422.1202,T_03_00_TI,04:00
cluster-wf-dmr-load-t-04-35-0435,wf_DMR_LOAD_T_04_35,306,60,e2-highcpu-32,e2-highcpu-32,1715.22,2343.6720,T_04_35_MIFID_II_ETL_DWH_DM,05:35
cluster-wf-dmr-load-t-03-45-0345,wf_DMR_LOAD_T_03_45,274,40,n2-highcpu-48,n2-highcpu-48,1464.82,2882.7581,T_03_45_CIRBE_DIARIO,04:45
cluster-wf-load-info-7e158412-0345,wf_LOAD_Infocentro_T_03_45,229,42,n2d-highcpu-48,n2d-highcpu-48,1554.77,2941.6241,T_03_45_PM,04:45
cluster-wf-dmr-load-t-05-00-0500,wf_DMR_LOAD_T_05_00,223,90,e2-highcpu-32,e2-highcpu-32,1351.68,2755.2595,T_05_00_ACT_OUT,06:00
cluster-wf-load-info-dbf4b473-0635,wf_LOAD_Infocentro_T_06_35,197,40,n2-highcpu-48,n2-highcpu-48,1299.98,2558.3512,T_06_35_EX_Payments,07:35
cluster-wf-dmr-load-t-06-15-0615,wf_DMR_LOAD_T_06_15,168,62,n2d-highcpu-48,n2d-highcpu-48,1078.48,2989.5451,T_06_15_CREATE_FLAG_CRO,07:15
cluster-wf-load-info-c9c4d332-0530,wf_LOAD_Infocentro_T_05_30,161,40,n2d-highcpu-48,n2d-highcpu-48,919.18,1658.1936,T_05_30_CVCM,06:30
comparator-general-tables-5898-1-a,UNKNOWN_DAG_ID,158,3,n2-highcpu-48,n2-highcpu-48,134.54,25.8322,ZERO_TIMER,00:00
cluster-wf-dmr-load-e338500b-2208,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,152,48,n2-highcpu-48,n2-highcpu-48,570.20,1341.1130,T_22_08_AV,23:08
cluster-wf-dmr-load-e338500b-0100,wf_DMR_LOAD_T_00_00__T_00_35__T_01_00__T_03_00__T_22_08__T_23_40,134,60,n2-highcpu-48,n2-highcpu-48,1690.66,4950.2559,T_01_00_TS,02:00
cluster-wf-dwh-load-t-05-50-0550,wf_DWH_LOAD_T_05_50,126,62,e2-highcpu-32,e2-highcpu-32,779.55,1100.0946,T_05_50_EB,06:50
cluster-wf-dwh-load-t-03-00-0300,wf_DWH_LOAD_T_03_00,117,40,n2-highcpu-48,n2-highcpu-48,861.30,1695.0405,Timer_03_00,04:00
cluster-wf-dwh-load-t-05-15-0515,wf_DWH_LOAD_T_05_15,110,29,e2-highcpu-32,e2-highcpu-32,527.23,354.2975,T_05_15_RRHH,06:15
cluster-wf-dwh-load-t-06-00-0600,wf_DWH_LOAD_T_06_00,105,58,n2-highcpu-48,n2-highcpu-48,1134.27,3212.2642,Timer_6_00,07:00
cluster-wf-load-info-10ffe88b-0500,wf_LOAD_Infocentro_T_05_00,102,47,e2-highcpu-32,e2-highcpu-32,379.69,408.2471,T_05_00_GR,06:00
cluster-wf-dwh-load-t-22-31-2231,wf_DWH_LOAD_T_22_31,92,40,n2d-highcpu-48,n2d-highcpu-48,528.21,952.8893,T_22_31,23:31
cluster-wf-dmr-load-t-21-30-2130,wf_DMR_LOAD_T_21_30,85,22,n2d-highcpu-48,n2d-highcpu-48,176.05,178.1611,T_21_30_SG,22:30
cluster-wf-load-info-986acbb7-0100,wf_LOAD_Infocentro_T_01_00__T_04_00,85,82,e2-highcpu-32,e2-highcpu-32,408.32,759.1565,T_01_00_PD,02:00
comparator-loans-and-leasing-5272,UNKNOWN_DAG_ID,80,7,e2-highcpu-32,e2-highcpu-32,120.45,21.5852,ZERO_TIMER,00:00
stg-to-ods-loans-and-leasing-5272,UNKNOWN_DAG_ID,80,7,n2d-highcpu-48,n2d-highcpu-48,167.82,59.0728,ZERO_TIMER,00:00
comparator-sfe-activa-cliente-2555,UNKNOWN_DAG_ID,75,5,e2-highcpu-32,e2-highcpu-32,84.05,11.2962,ZERO_TIMER,00:00
stg-to-ods-sfe-activa-cliente-2556,UNKNOWN_DAG_ID,75,7,e2-highcpu-32,e2-highcpu-32,121.21,21.7216,ZERO_TIMER,00:00
cluster-wf-load-info-79279de3-0740,wf_LOAD_Infocentro_T_07_40,63,31,n2d-highcpu-48,n2d-highcpu-48,287.85,405.2877,T_07_40_ODIGO,08:40
comparator-mis-590-2-b,UNKNOWN_DAG_ID,58,5,e2-highcpu-32,e2-highcpu-32,52.74,7.0883,ZERO_TIMER,00:00
stg-to-ods-mis-590-2-b,UNKNOWN_DAG_ID,58,5,n2-highcpu-48,n2-highcpu-48,72.02,20.7404,ZERO_TIMER,00:00
cluster-wf-dwh-load-t-22-30-2230,wf_DWH_LOAD_T_22_30,57,15,n2d-highcpu-48,n2d-highcpu-48,81.80,57.5903,Timer_22_30,23:30
cluster-wf-dmr-load-t-02-15-0215,wf_DMR_LOAD_T_02_15,56,10,n2d-highcpu-48,n2d-highcpu-48,165.21,79.9610,T_02_15_PM,03:15
cluster-wf-dmr-load-t-06-00-0600,wf_DMR_LOAD_T_06_00,55,70,e2-highcpu-32,e2-highcpu-32,134.12,213.2989,T_06_00_DPM,07:00
cluster-wf-dmr-load-t-03-00-0300,wf_DMR_LOAD_T_03_00,54,36,n2-highcpu-48,n2-highcpu-48,108.33,192.3994,T_03_00_MA,04:00
comparator-payments-544-2-c,UNKNOWN_DAG_ID,54,7,e2-highcpu-32,e2-highcpu-32,74.40,13.3333,ZERO_TIMER,00:00
stg-to-ods-payments-544-2-c,UNKNOWN_DAG_ID,54,7,n2-highcpu-48,n2-highcpu-48,319.27,122.5983,ZERO_TIMER,00:00
cluster-wf-dwh-load-4b53af6c-0420,wf_DWH_LOAD_T_04_00__T_04_20,50,55,e2-highcpu-32,e2-highcpu-32,169.33,212.4057,Timer_4_20,05:20
cluster-wf-dwh-load-t-22-45-2245,wf_DWH_LOAD_T_22_45,48,18,n2-highcpu-48,n2-highcpu-48,79.36,72.3793,Timer_22_45,23:45
cluster-wf-dwh-load-t-21-15-2115,wf_DWH_LOAD_T_21_15,47,22,n2-highcpu-48,n2-highcpu-48,199.01,219.7118,T_21_15_Seguros,22:15
cluster-wf-load-info-ac79fee8-0400,wf_LOAD_Infocentro_T_04_00,47,18,n2d-highcpu-48,n2d-highcpu-48,86.21,72.0757,T_04_00_MJ,05:00
